date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,1.58,1.61,1.56,1.58,55589230.0,KARSN,1.58,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.012658227848101222,0,0,0.056962025316455556,1,1,0.16455696202531644,1,1,-0.1708860759493671,0,-1,0.14556962025316444,1,1,0.7278481012658227,1,1,0.0
2020-01-03,1.521,1.58,1.45,1.5,107298768.0,KARSN,1.5,0,-0.05063291139240511,,,,,,,,,,-0.006381766381766463,-0.0012763532763532927,-0.00510541310541317,,,-107298768.0,0.06000000000000005,1,1,0.1333333333333333,1,1,0.31333333333333324,1,1,-0.18000000000000005,0,-1,0.15999999999999992,1,1,0.8333333333333333,1,1,0.0
2020-01-06,1.455,1.49,1.43,1.43,47405997.0,KARSN,1.43,0,-0.046666666666666745,,,,,,,,,,-0.01689304469931252,-0.004399691560945138,-0.012493353138367382,,,-154704765.0,0.15384615384615374,1,1,0.22377622377622375,1,1,0.3356643356643356,1,1,-0.14685314685314688,0,-1,0.2097902097902098,1,1,0.986013986013986,1,1,1.0
2020-01-07,1.465,1.48,1.45,1.45,52880180.0,KARSN,1.45,0,0.013986013986013957,,,,,,,,,,-0.023340421789135757,-0.008187837606583263,-0.015152584182552494,,,-101824585.0,0.13793103448275867,1,1,0.22758620689655173,1,1,0.3172413793103448,1,1,-0.13103448275862062,0,-1,0.1586206896551725,1,1,1.020689655172414,1,1,1.0
2020-01-08,1.42,1.44,1.39,1.41,76482599.1,KARSN,1.41,0,-0.02758620689655178,,,,,,,,,,-0.03131668108413521,-0.012813606302093654,-0.018503074782041558,,,-178307184.1,0.14893617021276606,1,1,0.26241134751773054,1,1,0.3262411347517733,1,1,-0.07801418439716301,0,-1,0.21985815602836878,1,1,1.1631205673758864,1,1,1.0
2020-01-09,1.49,1.52,1.47,1.52,67888456.19,KARSN,1.52,0,0.07801418439716312,-0.03797468354430378,,,,,,,,,-0.028434073055042086,-0.01593769965268334,-0.012496373402358745,,,-110418727.91,0.08552631578947367,1,1,0.23026315789473695,1,1,0.1578947368421053,1,1,-0.14473684210526316,0,-1,0.1513157894736843,1,1,1.1710526315789473,1,1,1.0
2020-01-10,1.519,1.54,1.5,1.51,87702124.0,KARSN,1.51,0,-0.006578947368421018,0.006666666666666599,,,,,,,,,-0.02664930524814535,-0.018080020771775743,-0.008569284476369607,,,-198120851.91,0.08609271523178808,1,1,0.19867549668874185,1,1,0.19205298013245042,1,1,-0.13245033112582782,0,-1,0.1589403973509933,1,1,1.2781456953642385,1,1,1.0
2020-01-13,1.542,1.57,1.52,1.55,69067170.0,KARSN,1.55,0,0.026490066225165476,0.08391608391608396,,,,,,,,,-0.021756403915127676,-0.01881529740044613,-0.0029411065146815463,,,-129053681.91,0.07096774193548372,1,1,0.12903225806451601,1,1,0.19999999999999996,1,1,-0.1225806451612903,0,-1,0.14193548387096766,1,1,1.354838709677419,1,1,1.0
2020-01-14,1.535,1.56,1.51,1.54,58129094.0,KARSN,1.54,0,-0.006451612903225823,0.0620689655172415,,,,,,,,,-0.0184727187805398,-0.018746781676464864,0.0002740628959250653,,,-187182775.91,0.1298701298701299,1,1,0.17532467532467533,1,1,0.2597402597402596,1,1,-0.11688311688311681,0,-1,0.17532467532467533,1,1,1.383116883116883,1,1,1.0
2020-01-15,1.572,1.61,1.5,1.6,247019147.0,KARSN,1.6,0,0.038961038961039085,0.13475177304964547,,,,,,,,,-0.010903190896967674,-0.017178063520565428,0.006274872623597754,,,59836371.09,0.0625,1,1,0.13124999999999987,1,1,0.2124999999999999,1,1,-0.15625,0,-1,0.13124999999999987,1,1,1.2062499999999998,1,1,1.0
2020-01-16,1.602,1.63,1.56,1.56,155727526.0,KARSN,1.56,0,-0.025000000000000022,0.026315789473684292,,,,,,,,,-0.008039279411012679,-0.01535030669865488,0.007311027287642201,-1.2658227848101222,,-95891154.91,0.07051282051282048,1,1,0.17948717948717952,1,1,0.10897435897435903,1,1,-0.11538461538461553,0,-1,0.14743589743589736,1,1,1.0448717948717947,1,1,1.0
2020-01-17,1.58,1.62,1.53,1.59,166283302.0,KARSN,1.59,0,0.019230769230769162,0.052980132450331174,,,,,,,,,-0.003310696002802649,-0.012942384559484434,0.009631688556681785,6.000000000000005,,70392147.09,0.0691823899371069,1,1,0.23899371069182385,1,1,0.05031446540880502,1,1,-0.1320754716981133,0,-1,0.1383647798742138,1,1,1.157232704402516,1,1,1.0
