date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,1.1716746,1.181947,1.1515107,1.1807,30437818.0,CIMSA,1.1807,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.023630049970356337,1,1,0.051579571440670824,1,1,0.033285339205555875,1,1,-0.337257559075125,0,-1,-0.184720928262895,0,-1,0.041839586685864294,1,1,0.0
2020-01-03,1.1543007,1.1933607,1.1109289,1.1515,27847465.0,CIMSA,1.1515,0,-0.02473109172524779,,,,,,,,,,-0.0023293447293448732,-0.00046586894586897465,-0.0018634757834758986,,,-27847465.0,0.044029526704298716,1,1,0.08371689101172386,1,1,0.08041684759009993,1,1,-0.32045158488927483,0,-1,-0.16630481980026057,0,-1,0.0748588797221017,1,1,1.0
2020-01-06,1.1258934,1.1451697,1.1096605,1.1274,16598174.0,CIMSA,1.1274,0,-0.020929222752930965,,,,,,,,,,-0.006050291799579499,-0.0015827535166110798,-0.00446753828296842,,,-44445639.0,0.08550647507539466,1,1,0.1057299982260067,1,1,0.09003015788540014,1,1,-0.2890722015256342,0,-1,-0.15859499733901006,0,-1,0.11477736384601744,1,1,1.0
2020-01-07,1.1367997,1.1477059,1.1324879,1.1338,20823705.0,CIMSA,1.1338,0,0.00567677842824188,,,,,,,,,,-0.008386073215865153,-0.0029434174564618946,-0.005442655759403258,,,-23621934.0,0.07823249250308706,1,1,0.13079908273064045,1,1,0.08158405362497789,1,1,-0.29643676133356855,0,-1,-0.15884635738225428,0,-1,0.16210971952725362,1,1,1.0
2020-01-08,1.1138456,1.1261468,1.0538604,1.1122,12099620.8,CIMSA,1.1122,0,-0.019050979008643387,,,,,,,,,,-0.011843610528158743,-0.004723456070801264,-0.007120154457357479,,,-35721554.8,0.07300845171731707,1,1,0.14143139723071396,1,1,0.04108973206257849,1,1,-0.289606185937781,0,-1,-0.1129293292573279,0,-1,0.18126236288437325,1,1,1.0
2020-01-09,1.1496083,1.1629243,1.1362923,1.1617,16500309.95,CIMSA,1.1617,0,0.04450638374393079,-0.01609214872533249,,,,,,,,,-0.010468819413538055,-0.005872528739348622,-0.004596290674189433,,,-19221244.849999998,0.02943961435826803,1,1,0.09167599208057164,1,1,0.03813376947576819,1,1,-0.30352070241886886,0,-1,-0.14306619609193416,0,-1,0.11896358784539918,1,1,1.0
2020-01-10,1.1659678,1.1768742,1.1565833,1.168,20554050.0,CIMSA,1.168,0,0.005423086855470327,0.014329135909682877,,,,,,,,,-0.008769836979991563,-0.006451990387477211,-0.002317846592514352,,,1332805.1500000022,0.022773972602739834,1,1,0.0835616438356166,1,1,0.019520547945205635,1,0,-0.2606164383561643,0,-1,-0.1607020547945205,0,-1,0.1552226027397261,1,1,1.0
2020-01-13,1.1893024,1.1997015,1.1768742,1.1972,23603064.0,CIMSA,1.1972,0,0.025000000000000133,0.0619123647330142,,,,,,,,,-0.0050094394952473476,-0.006163480209031239,0.0011540407137838916,,,24935869.150000002,0.045522886735716694,1,1,0.014784497160040155,1,0,-0.016956231206147643,0,0,-0.2902606080855329,0,-1,-0.18117273638489817,0,-1,0.2160875375877045,1,1,1.0
2020-01-14,1.1910781,1.2035061,1.1705332,1.1946,23670779.0,CIMSA,1.1946,0,-0.0021717340461074874,0.053624977950256,,,,,,,,,-0.0022135789075388157,-0.005373499948732755,0.0031599210411939393,,,1265090.1500000022,0.0913276410513979,1,1,0.026536079022266623,1,1,-0.013812154696132728,0,0,-0.2876276577934037,0,-1,-0.14858530051900232,0,-1,0.17947430102126227,1,1,1.0
2020-01-15,1.2012234,1.2149198,1.1870196,1.2035,26647318.0,CIMSA,1.2035,0,0.007450192533065447,0.08208955223880587,,,,,,,,,0.0007121076373328705,-0.00415637843151963,0.004868486068852501,,,27912408.150000002,0.08009970918155385,1,1,0.01578728707935184,1,0,-0.04636476942251777,0,-1,-0.2718737017033652,0,-1,-0.1601994183631077,0,-1,0.10012463647694236,1,1,1.0
2020-01-16,1.214793,1.231406,1.1984334,1.2086,32957382.0,CIMSA,1.2086,0,0.0042376402160364535,0.04037186881294641,,,,,,,,,0.0034030346153681723,-0.00264449582214207,0.006047530437510242,2.3630049970356337,,60869790.150000006,0.02730431904683117,1,1,0.009432401125268886,1,0,-0.05038887969551542,0,-1,-0.2727949693860664,0,-1,-0.16688730762866122,0,-1,0.15944067516134375,1,1,1.0
2020-01-17,1.2060425,1.2301381,1.1806788,1.2022,30457291.0,CIMSA,1.2022,0,-0.0052953830878702535,0.02928082191780823,,,,,,,,,0.004961988405961515,-0.001123198976521353,0.006085187382482868,4.402952670429872,,30412499.150000006,0.038013641656962305,1,1,0.03485276992180997,1,1,-0.022126102146065474,0,-1,-0.2700049908501081,0,-1,-0.09382798203293963,0,-1,0.14456829146564631,1,1,1.0
2020-01-20,1.2202461,1.2352105,1.202238,1.2238,28811469.0,CIMSA,1.2238,0,0.017967060389286305,0.022218509856331448,,,,,,,,,0.007849920995104842,0.000671425017803886,0.007178495977300956,8.550647507539466,,59223968.150000006,0.018630495178950657,1,0,0.004167347605817939,1,0,-0.015525412649125547,0,0,-0.26009151822193166,0,-1,-0.031050825298251428,0,-1,0.12951462657296942,1,1,1.0
2020-01-21,1.2268405,1.2390155,1.2123835,1.2225,29162491.0,CIMSA,1.2225,0,-0.0010622650759928298,0.023355097940733094,,,,,,,,59.84919886899149,0.009919384750187499,0.0025210169642806085,0.00739836778590689,7.823249250308706,0.04004409285714288,30061477.150000006,0.04875255623721886,1,1,0.0031083844580777065,1,0,-0.02593047034764817,0,-1,-0.28212678936605307,0,-1,-0.07779141104294474,0,-1,0.1359509202453988,1,1,1.0
2020-01-22,1.2054083,1.2250652,1.1870196,1.1934,28010791.0,CIMSA,1.1934,0,-0.02380368098159502,-0.008392189447444909,,,,,,,,52.63157894736841,0.009106350544053399,0.0038380836802351668,0.005268266863818232,7.300845171731707,0.0405876142857143,2050686.150000006,0.0637673872967992,1,1,-0.029746941511647473,0,-1,-0.016004692475280802,0,0,-0.2614379084967321,0,-1,-0.035109770403888074,0,-1,0.1816658287246522,1,1,0.0
