date,usd_try,usdtry_roc_1d,usdtry_roc_5d,usdtry_roc_20d,usdtry_ma200,usdtry_distance_ma200,usdtry_vol_20d,usdtry_vol_60d,usdtry_vol_regime,eur_try,eurtry_roc_1d,eurtry_roc_5d,eurtry_roc_20d,eur_usd_implied,eur_usd_roc_1d,bist100,bist100_roc_1d,bist100_roc_5d,bist100_roc_20d,bist100_roc_60d,bist100_ma200,bist100_distance_ma200,bist100_vol_20d,bist100_vol_60d,bist100_vol_regime,tcmb_repo,tcmb_rate_change,tcmb_rate_change_5d,tcmb_rate_roc_1d,cpi,cpi_mom,cpi_yoy,m2,m2_mom,m2_yoy,us_cli,us_cli_roc_1d,us_cli_roc_20d,us_cpi,us_cpi_mom,us_cpi_yoy,usdtry_vs_bist100,eurtry_vs_bist100,macro_regime_up,macro_regime_down
2020-01-16,7.7892,0.0,0.004772838678052782,,,,,,,9.3306,0.0,0.027203170584025882,,1.1978893853027268,0.0,1325.29,0.0,0.15896669027817856,,,,,,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-17,7.7892,0.0,0.0,,,,,,,9.3306,0.0,0.0,,1.1978893853027268,0.0,1325.29,0.0,0.0,,,,,,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-18,7.7892,0.0,0.0,,,,,,,9.3306,0.0,0.0,,1.1978893853027268,0.0,1325.29,0.0,0.0,,,,,,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-19,7.7892,0.0,0.0,,,,,,,9.3306,0.0,0.0,,1.1978893853027268,0.0,1325.29,0.0,0.0,,,,,,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-20,7.7892,0.0,0.0,,,,,,,9.3306,0.0,0.0,,1.1978893853027268,0.0,1325.29,0.0,0.0,,,,,,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-21,7.7892,0.0,0.0,0.18564296151972726,,,0.02084339687224418,,,9.3306,0.0,0.0,0.2939936483281791,1.1978893853027268,0.0,1325.29,0.0,0.0,0.4876690800920469,,,,0.06049947744032011,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-22,7.7892,0.0,0.0,0.18564296151972726,,,0.02084339687224418,,,9.3306,0.0,0.0,0.2939936483281791,1.1978893853027268,0.0,1325.29,0.0,0.0,0.4876690800920469,,,,0.06049947744032011,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-23,7.7892,0.0,0.0,0.18564296151972726,,,0.02084339687224418,,,9.3306,0.0,0.0,0.2939936483281791,1.1978893853027268,0.0,1325.29,0.0,0.0,0.4876690800920469,,,,0.06049947744032011,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-24,7.7892,0.0,0.0,0.18564296151972726,,,0.02084339687224418,,,9.3306,0.0,0.0,0.2939936483281791,1.1978893853027268,0.0,1325.29,0.0,0.0,0.4876690800920469,,,,0.06049947744032011,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-25,7.7892,0.0,0.0,0.18564296151972726,,,0.02084339687224418,,,9.3306,0.0,0.0,0.2939936483281791,1.1978893853027268,0.0,1325.29,0.0,0.0,0.4876690800920469,,,,0.06049947744032011,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-26,7.7892,0.0,0.0,0.14315066482726246,,,0.01980717716288108,,,9.3306,0.0,0.0,0.23143724429193613,1.1978893853027268,0.0,1325.29,0.0,0.0,0.23551731210262328,,,,0.04270137754142282,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-27,7.7892,0.0,0.0,0.13823942015431379,,,0.019860139119233903,,,9.3306,0.0,0.0,0.2161887382690304,1.1978893853027268,0.0,1325.29,0.0,0.0,0.14927806443220737,,,,0.04003255301775669,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-28,7.7892,0.0,0.0,0.13823942015431379,,,0.019860139119233903,,,9.3306,0.0,0.0,0.2161887382690304,1.1978893853027268,0.0,1325.29,0.0,0.0,0.14927806443220737,,,,0.04003255301775669,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
