symbol,period,item_code,item_name_tr,item_name_en,value
TMSN,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,95474343.0
TMSN,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,7448232.0
TMSN,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,13647071.0
TMSN,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,30848200.0
TMSN,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
TMSN,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,13867980.0
TMSN,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
TMSN,2020/12,1AF,Stoklar,Inventories,24004055.0
TMSN,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
TMSN,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,5658805.0
TMSN,2020/12,1AI,(Ara Toplam),(Subtotal),95474343.0
TMSN,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
TMSN,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,100001957.0
TMSN,2020/12,1B,Ticari Alacaklar,Trade Receivables,288254.0
TMSN,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
TMSN,2020/12,1BB,Diğer Alacaklar,Other Receivables,20154.0
TMSN,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
TMSN,2020/12,1BC,Finansal Yatırımlar,Financial Investments,94178.0
TMSN,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
TMSN,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
TMSN,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,2383385.0
TMSN,2020/12,1BFA,Stoklar,Stoklar,0.0
TMSN,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,879224.0
TMSN,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,95665480.0
TMSN,2020/12,1BGA,Şerefiye,Goodwill,0.0
TMSN,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,671282.0
TMSN,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
TMSN,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,0.0
TMSN,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,195476299.0
TMSN,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
TMSN,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,61772664.0
TMSN,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,31275248.0
TMSN,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
TMSN,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,21868805.0
TMSN,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,693923.0
TMSN,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
TMSN,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
TMSN,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
TMSN,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,5451740.0
TMSN,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),101477.0
TMSN,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,1732422.0
TMSN,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,649050.0
TMSN,2020/12,2AAGG,(Ara Toplam),(Subtotal),61772664.0
