symbol,period,item_code,item_name_tr,item_name_en,value
AEFES,2025/3,1BB,Diğer Alacaklar,Other Receivables,9315134.0
AEFES,2025/3,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
AEFES,2025/3,1BC,Finansal Yatırımlar,Financial Investments,1272738722.0
AEFES,2025/3,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,531801.0
AEFES,2025/3,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
AEFES,2025/3,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
AEFES,2025/3,1BFA,Stoklar,Stoklar,0.0
AEFES,2025/3,1BFAA,Kullanım Hakkı Varlıkları,nan,100430225.0
AEFES,2025/3,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1989346456.0
AEFES,2025/3,1BGA,Şerefiye,Goodwill,220028308.0
AEFES,2025/3,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,2821803868.0
AEFES,2025/3,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,270133215.0
AEFES,2025/3,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,131956457.0
AEFES,2025/3,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,9457085297.0
AEFES,2025/3,1BM,KAYNAKLAR,LIABILITIES,0.0
AEFES,2025/3,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,2668332888.0
AEFES,2025/3,2AA,Finansal Borçlar,Short-Term Financial Loans,1160421423.0
AEFES,2025/3,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
AEFES,2025/3,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,936796322.0
AEFES,2025/3,2AAGAB,Diğer Borçlar,Other Short-Term Loans,473731171.0
AEFES,2025/3,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
AEFES,2025/3,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
AEFES,2025/3,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
