symbol,period,item_code,item_name_tr,item_name_en,value
ISDMR,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,1742142694.0
ISDMR,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,5193671.0
ISDMR,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
ISDMR,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,172373969.0
ISDMR,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
ISDMR,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,930331912.0
ISDMR,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ISDMR,2020/12,1AF,Stoklar,Inventories,617627914.0
ISDMR,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
ISDMR,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,16615227.0
ISDMR,2020/12,1AI,(Ara Toplam),(Subtotal),1742142694.0
ISDMR,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
ISDMR,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,2071198757.0
ISDMR,2020/12,1B,Ticari Alacaklar,Trade Receivables,0.0
ISDMR,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
ISDMR,2020/12,1BB,Diğer Alacaklar,Other Receivables,1371372.0
ISDMR,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ISDMR,2020/12,1BC,Finansal Yatırımlar,Financial Investments,26774.0
ISDMR,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,30938421.0
ISDMR,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
ISDMR,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
ISDMR,2020/12,1BFA,Stoklar,Stoklar,0.0
ISDMR,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,40442639.0
ISDMR,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1874051691.0
ISDMR,2020/12,1BGA,Şerefiye,Goodwill,0.0
ISDMR,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,40825407.0
ISDMR,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
ISDMR,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,83542454.0
ISDMR,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,3813341451.0
ISDMR,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
ISDMR,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,378670604.0
ISDMR,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,28102574.0
ISDMR,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ISDMR,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,249073419.0
ISDMR,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,4708921.0
ISDMR,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
ISDMR,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
ISDMR,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
ISDMR,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,14907100.0
ISDMR,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),48008664.0
ISDMR,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,8374211.0
ISDMR,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,25495715.0
ISDMR,2020/12,2AAGG,(Ara Toplam),(Subtotal),378670604.0
ISDMR,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
ISDMR,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,477358295.0
ISDMR,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,132764944.0
ISDMR,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ISDMR,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
ISDMR,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
ISDMR,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
ISDMR,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
ISDMR,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
ISDMR,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
ISDMR,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,54240855.0
ISDMR,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
ISDMR,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,290352496.0
ISDMR,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
ISDMR,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,2957312551.0
ISDMR,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,2957312551.0
ISDMR,2020/12,2OA,Ödenmiş Sermaye,Share Capital,390167772.0
ISDMR,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
ISDMR,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
ISDMR,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
ISDMR,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
ISDMR,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,188607101.0
ISDMR,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),838919504.0
ISDMR,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),326038855.0
ISDMR,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,1213579318.0
ISDMR,2020/12,2ODA,Azınlık Payları,Minority Interests,0.0
ISDMR,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,3813341451.0
ISDMR,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
ISDMR,2020/12,3C,Satış Gelirleri,Net Sales,2408251158.0
ISDMR,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-1951807966.0
ISDMR,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
ISDMR,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,456443192.0
ISDMR,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
ISDMR,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
ISDMR,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
ISDMR,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
ISDMR,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
ISDMR,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),456443192.0
ISDMR,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-16351514.0
ISDMR,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-26725408.0
ISDMR,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),-34294.0
ISDMR,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,30423997.0
ISDMR,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-7801017.0
ISDMR,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
ISDMR,2020/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,435954956.0
ISDMR,2020/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,413331977.0
ISDMR,2020/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,21283820.0
ISDMR,2020/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,-945138.0
ISDMR,2020/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
ISDMR,2020/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,1093554.0
ISDMR,2020/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,457387192.0
ISDMR,2020/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),83550943.0
ISDMR,2020/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-19174833.0
ISDMR,2020/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,20338682.0
ISDMR,2020/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,521763302.0
ISDMR,2020/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-176927509.0
ISDMR,2020/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-176995527.0
ISDMR,2020/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,68018.0
ISDMR,2020/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
ISDMR,2020/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,344835793.0
ISDMR,2020/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
ISDMR,2020/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
ISDMR,2020/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,344835793.0
ISDMR,2020/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
ISDMR,2020/12,3LB,Azınlık Payları,Minority Interests,0.0
ISDMR,2020/12,3Z,Ana Ortaklık Payları,Parent Shares,344835793.0
ISDMR,2020/12,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
ISDMR,2020/12,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
ISDMR,2020/12,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
ISDMR,2020/12,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
ISDMR,2020/12,4B,Amortisman Giderleri,Depreciation & Amortization,110492358.0
ISDMR,2020/12,4BA,Kıdem Tazminatı,Severance Payments,2887637.0
