symbol,period,item_code,item_name_tr,item_name_en,value
ALKA,2021/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,692006.0
ALKA,2021/12,1AI,(Ara Toplam),(Subtotal),40706956.0
ALKA,2021/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
ALKA,2021/12,1AK,Duran Varlıklar,LONG TERM ASSETS,1934211.0
ALKA,2021/12,1B,Ticari Alacaklar,Trade Receivables,0.0
ALKA,2021/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
ALKA,2021/12,1BB,Diğer Alacaklar,Other Receivables,0.0
ALKA,2021/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ALKA,2021/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
ALKA,2021/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,66353.0
ALKA,2021/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
ALKA,2021/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
ALKA,2021/12,1BFA,Stoklar,Stoklar,0.0
ALKA,2021/12,1BFAA,Kullanım Hakkı Varlıkları,nan,0.0
ALKA,2021/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1701126.0
ALKA,2021/12,1BGA,Şerefiye,Goodwill,0.0
ALKA,2021/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,98759.0
ALKA,2021/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,59572.0
ALKA,2021/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,8401.0
ALKA,2021/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,42641167.0
ALKA,2021/12,1BM,KAYNAKLAR,LIABILITIES,0.0
ALKA,2021/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,15664965.0
ALKA,2021/12,2AA,Finansal Borçlar,Short-Term Financial Loans,0.0
ALKA,2021/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ALKA,2021/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,10017544.0
