ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
KARTN,2020/3,20481270.0,-165288972.0,-909302.0,476667844.0,-4.42,-7.07,,80.0
KARTN,2020/6,50109256.0,-330194814.0,-910364.0,487286454.0,-4.42,-7.07,,80.0
KARTN,2020/9,96455820.0,-497362643.0,-911950.0,533556764.0,-4.42,-7.07,,80.0
KARTN,2020/12,137264514.0,-698402343.0,1339761.0,573810790.0,-4.42,-7.07,,80.0
KARTN,2021/3,51206493.0,-231386788.0,440645.0,624849639.0,-4.42,-7.07,,80.0
KARTN,2021/6,105435118.0,-498623206.0,0.0,618276788.0,-4.42,-7.07,,80.0
KARTN,2021/9,180938551.0,-778883956.0,3539.0,693756866.0,-4.42,-7.07,,80.0
KARTN,2021/12,379019989.0,-1166395954.0,177.0,888136561.0,-4.42,-7.07,,80.0
KARTN,2022/3,290238483.0,-528848458.0,-177.0,1178675323.0,-4.42,-7.07,,80.0
KARTN,2022/6,529880474.0,-1148973464.0,-177.0,1244301777.0,-4.42,-7.07,,80.0
KARTN,2022/9,666520489.0,-1790947537.0,-177.0,1376823999.0,-4.42,-7.07,,80.0
KARTN,2022/12,536924453.0,-5165683515.0,-479.0,3303395009.0,-4.42,-7.07,,80.0
KARTN,2023/3,-49054898.0,-762575498.0,2003.0,1362669733.0,-4.42,-7.07,,80.0
KARTN,2023/6,-3125501.0,-1548436596.0,0.0,1214420938.0,-4.42,-7.07,,80.0
KARTN,2023/9,-47252482.0,-2783275673.0,68085.0,1161175867.0,-4.42,-7.07,,80.0
KARTN,2023/12,-895649025.0,-4247452441.0,0.0,3443942125.0,-4.42,-7.07,,80.0
KARTN,2024/3,-313919237.0,-1513866690.0,143534156.0,2443112402.0,-4.42,-7.07,,80.0
KARTN,2024/6,-418333673.0,-2882835885.0,552358712.0,2556767136.0,-4.42,-7.07,,80.0
KARTN,2024/9,-631454274.0,-4207186196.0,914518752.0,2606165041.0,-4.42,-7.07,,80.0
KARTN,2024/12,-816988582.0,-5352818674.0,552356813.0,3482850285.0,-4.42,-7.07,,80.0
KARTN,2025/3,-329802984.0,-1266984999.0,16971356.0,2745396235.0,-4.42,-7.07,,80.0
