ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
PRKME,2020/3,18642961.0,-5241861.0,0.0,508030976.0,-1.33,41.81,,17.08
PRKME,2020/6,29789966.0,-10976050.0,0.0,675172654.0,-1.33,41.81,,17.08
PRKME,2020/9,71420460.0,-19864727.0,0.0,715218860.0,-1.33,41.81,,17.08
PRKME,2020/12,59475456.0,-34318927.0,0.0,704400161.0,-1.33,41.81,,17.08
PRKME,2021/3,47524722.0,-8675931.0,0.0,751495287.0,-1.33,41.81,,17.08
PRKME,2021/6,65948450.0,-17661054.0,0.0,769919015.0,-1.33,41.81,,17.08
PRKME,2021/9,77351108.0,-28327753.0,0.0,781298322.0,-1.33,41.81,,17.08
PRKME,2021/12,255169083.0,-42773249.0,0.0,959116297.0,-1.33,41.81,,17.08
PRKME,2022/3,51196526.0,-17240664.0,0.0,1010312825.0,-1.33,41.81,,17.08
PRKME,2022/6,259646356.0,-44804507.0,0.0,1215400645.0,-1.33,41.81,,17.08
PRKME,2022/9,334033923.0,-69138577.0,0.0,1289743272.0,-1.33,41.81,,17.08
PRKME,2022/12,-225541199.0,-236862212.0,0.0,2652869588.0,-1.33,41.81,,17.08
PRKME,2023/3,30904412.0,-68337168.0,0.0,1422780656.0,-1.33,41.81,,17.08
PRKME,2023/6,489988973.0,-147523331.0,0.0,1711865216.0,-1.33,41.81,,17.08
PRKME,2023/9,495702731.0,-241334690.0,0.0,1715618683.0,-1.33,41.81,,17.08
PRKME,2023/12,487960698.0,-355354672.0,0.0,3974472946.0,-1.33,41.81,,17.08
PRKME,2024/3,13225642.0,-97884594.0,0.0,3178945772.0,-1.33,41.81,,17.08
PRKME,2024/6,38093914.0,-209805675.0,0.0,3270639741.0,-1.33,41.81,,17.08
PRKME,2024/9,48632181.0,-355370789.0,0.0,3565927810.0,-1.33,41.81,,17.08
PRKME,2024/12,91621441.0,-496192812.0,0.0,4777322877.0,-1.33,41.81,,17.08
PRKME,2025/3,-12595874.0,-90841701.0,0.0,4177957171.0,-1.33,41.81,,17.08
