ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
ASELS,2020/3,920137000.0,-1843205000.0,-669711000.0,14494489000.0,169.64,706.32,,184.1653
ASELS,2020/6,1841627000.0,-3676056000.0,45141000.0,15081234000.0,169.64,706.32,,184.1653
ASELS,2020/9,2988438000.0,-6182736000.0,286015000.0,16291592000.0,169.64,706.32,,184.1653
ASELS,2020/12,4449106000.0,-11499440000.0,994285000.0,18098103000.0,169.64,706.32,,184.1653
ASELS,2021/3,1233851000.0,-2241406000.0,19699000.0,19337844000.0,169.64,706.32,,184.1653
ASELS,2021/6,2538479000.0,-4399054000.0,55845000.0,20286881000.0,169.64,706.32,,184.1653
ASELS,2021/9,3140974000.0,-6891607000.0,-397297000.0,20888781000.0,169.64,706.32,,184.1653
ASELS,2021/12,7130563000.0,-13490042000.0,-650909000.0,25835210000.0,169.64,706.32,,184.1653
ASELS,2022/3,1695590000.0,-3052485000.0,1808856000.0,27541123000.0,169.64,706.32,,184.1653
ASELS,2022/6,3835607000.0,-7421958000.0,1951822000.0,29103809000.0,169.64,706.32,,184.1653
ASELS,2022/9,5791966000.0,-12286169000.0,2308820000.0,31068655000.0,169.64,706.32,,184.1653
ASELS,2022/12,1281963000.0,-49026909000.0,5210278000.0,80806003000.0,169.64,706.32,,184.1653
ASELS,2023/3,2267465000.0,-11973671627.0,-1803609000.0,42137134000.0,169.64,706.32,,184.1653
ASELS,2023/6,5413483000.0,-24848068000.0,2171947000.0,44844342000.0,169.64,706.32,,184.1653
ASELS,2023/9,9801167000.0,-38213775000.0,3226450000.0,49310472000.0,169.64,706.32,,184.1653
ASELS,2023/12,10525898000.0,-77224731000.0,6310073000.0,127602504000.0,169.64,706.32,,184.1653
ASELS,2024/3,1403761000.0,-14857768000.0,2527297000.0,102888142000.0,169.64,706.32,,184.1653
ASELS,2024/6,3798882000.0,-32829000000.0,7649578000.0,113261318000.0,169.64,706.32,,184.1653
ASELS,2024/9,6141716000.0,-55909899000.0,14485878000.0,125353862000.0,169.64,706.32,,184.1653
ASELS,2024/12,19189150288.0,-102911719405.0,12777492043.0,177306197946.0,169.64,706.32,,184.1653
ASELS,2025/3,2274816000.0,-15969400000.0,-2388390000.0,157722276000.0,169.64,706.32,,184.1653
