entry_date,exit_date,symbol,entry_price,exit_price,shares,return,reason,days_held
2025-08-19,2025-09-16,BIOEN,20.171,26.32,3549,0.3048435873283428,TIME_EXIT,20
2025-09-17,,MAGEN,22.7724,,3949,,ENTRY,0
2025-08-21,2025-09-18,ALKA,7.638,11.53,10953,0.5095574757789996,TIME_EXIT,20
2025-09-19,,AKSEN,38.598,,2795,,ENTRY,0
2025-09-19,2025-09-29,AKSEN,38.598,36.661,2795,-0.05018394735478515,STOP_LOSS,6
2025-09-30,,AKSEN,36.984,,2838,,ENTRY,0
2025-09-17,2025-10-01,MAGEN,22.7724,21.63378,3949,-0.04999999999999993,STOP_LOSS,10
2025-10-02,,NUHCM,220.852,,430,,ENTRY,0
2025-09-05,2025-10-03,KUTPO,96.336,114.8,897,0.19166251453246974,TIME_EXIT,20
2025-10-06,,MAGEN,21.726,,4549,,ENTRY,0
2025-09-08,2025-10-06,TOASO,223.222,269.0,386,0.2050783524921378,TIME_EXIT,20
2025-10-07,,FONET,2.4830768,,40729,,ENTRY,0
2025-09-30,2025-10-28,AKSEN,36.984,48.48,2838,0.31083711875405573,TIME_EXIT,20
2025-10-30,,KOZAL,26.64,,4471,,ENTRY,0
2025-10-02,2025-10-31,NUHCM,220.852,244.0,430,0.10481227247206282,TIME_EXIT,20
2025-11-03,,TTKOM,51.024,,2191,,ENTRY,0
2025-10-06,2025-11-04,MAGEN,21.726,28.5,4549,0.3117923225628281,TIME_EXIT,20
2025-11-05,,TCELL,98.777,,1219,,ENTRY,0
2025-10-07,2025-11-05,FONET,2.4830768,3.19,40729,0.2846964701212624,TIME_EXIT,20
2025-11-06,,SAHOL,81.952,,1525,,ENTRY,0
2025-11-06,2025-11-10,SAHOL,81.952,77.8544,1525,-0.050000000000000044,STOP_LOSS,2
2025-11-11,,IPEKE,71.948,,1690,,ENTRY,0
2025-11-05,2025-11-11,TCELL,98.777,93.83815,1219,-0.050000000000000044,STOP_LOSS,4
2025-11-12,,TCELL,95.722,,1230,,ENTRY,0
