decision_date,exec_date,symbol,score,planned_capital
2025-01-02,2025-01-03,IPEKE,0.9073204872072126,20000.0
2025-01-02,2025-01-03,KFEIN,0.8789514002371023,20000.0
2025-01-02,2025-01-03,KARTN,0.86509366409098,20000.0
2025-01-02,2025-01-03,OYAKC,0.8260088708000061,20000.0
2025-01-02,2025-01-03,TEZOL,0.762862060958784,20000.0
2025-01-03,2025-01-06,CIMSA,0.7735259292084967,19929.71767820201
2025-01-07,2025-01-08,OYAKC,0.9089031784067678,18954.091038108014
2025-01-08,2025-01-09,TCELL,0.8799796529803859,18954.091038108014
2025-01-31,2025-02-03,CLEBI,0.9875670064145038,23104.43911305401
2025-01-31,2025-02-03,KOZAL,0.9861489972934471,23104.43911305401
2025-02-03,2025-02-04,BIOEN,0.9806864218566264,24381.477372554007
2025-02-03,2025-02-04,KOZAA,0.9742578058023155,24381.477372554007
2025-02-04,2025-02-05,KOZAA,0.9882903435595813,24333.111583108017
2025-02-05,2025-02-06,TKFEN,0.9665603717533698,24333.111583108017
2025-02-06,2025-02-07,TKFEN,0.940640771028446,22635.795351554007
2025-02-06,2025-02-07,PAPIL,0.8732455688496142,22635.795351554007
2025-02-07,2025-02-10,BMSCH,0.8577922536147297,22638.07903310801
2025-02-10,2025-02-11,BMSCH,0.9098419970025279,22638.07903310801
2025-02-11,2025-02-12,BMSCH,0.9237426729515147,22638.07903310801
2025-02-12,2025-02-13,BMSCH,0.9228610131212408,22638.07903310801
2025-02-13,2025-02-14,BMSCH,0.945195350780928,22638.07903310801
2025-02-14,2025-02-17,ASELS,0.9107891967182752,22638.07903310801
2025-02-17,2025-02-18,OTKAR,0.9563694638436433,22638.07903310801
2025-03-03,2025-03-04,GSDHO,0.9913151321343575,23810.130968954007
2025-03-03,2025-03-04,QUAGR,0.9911712926643732,23810.130968954007
2025-03-04,2025-03-05,PAPIL,0.9966492201298063,26150.171849954007
2025-03-04,2025-03-05,TUKAS,0.996379760235953,26150.171849954007
2025-03-05,2025-03-06,OYAKC,0.9854199222173602,26105.398379908012
2025-03-06,2025-03-07,TUREX,0.9820199385030854,26105.398379908012
2025-03-07,2025-03-10,TUREX,0.9746587355515668,26825.69798995401
2025-03-07,2025-03-10,TKFEN,0.9699041000979933,26825.69798995401
2025-03-10,2025-03-11,TKFEN,0.9293157617407357,26783.04152289402
2025-03-11,2025-03-12,CLEBI,0.9321892237551244,26783.04152289402
2025-03-18,2025-03-19,CEMTS,0.9778283302206517,31432.960022694017
2025-03-19,2025-03-20,CEMTS,0.9840098288017456,31432.960022694017
2025-03-20,2025-03-21,CEMTS,0.9714903769165043,31432.960022694017
2025-03-21,2025-03-24,CEMTS,0.9862020208621127,31432.960022694017
2025-03-24,2025-03-25,BAGFS,0.9886945514742769,31432.960022694017
2025-03-25,2025-03-26,BAGFS,0.99037581761557,31432.960022694017
2025-03-26,2025-03-27,BAGFS,0.9899368596773193,31432.960022694017
2025-03-27,2025-03-28,BAGFS,0.9923633934606556,31432.960022694017
2025-03-28,2025-04-02,BAGFS,0.9927950237265771,31432.960022694017
2025-04-02,2025-04-03,BAGFS,0.9932874461172201,31432.960022694017
2025-04-03,2025-04-04,TUKAS,0.9915464327818087,29340.033301347008
2025-04-03,2025-04-04,BAGFS,0.9894347225061327,29340.033301347008
2025-04-04,2025-04-07,BAGFS,0.9936702546920062,43956.25511934701
2025-04-04,2025-04-07,QUAGR,0.987333393170777,43956.25511934701
2025-04-07,2025-04-08,QUAGR,0.9738842450607428,43868.69443069403
2025-04-08,2025-04-09,MAVI,0.9553625580562697,43868.69443069403
2025-04-09,2025-04-10,TOASO,0.9787738519463198,46311.89441534701
2025-04-09,2025-04-10,KRDMA,0.9680448702356254,46311.89441534701
2025-04-10,2025-04-11,MAVI,0.9710436759509713,46350.354686694016
2025-04-11,2025-04-14,MAVI,0.9758934233680494,38918.54984864701
2025-04-11,2025-04-14,EREGL,0.9607251842988358,38918.54984864701
2025-04-14,2025-04-15,LOGO,0.9608370708139254,38855.031758454024
2025-04-16,2025-04-17,KRDMA,0.9760045669001867,43203.354824414026
2025-04-17,2025-04-18,EREGL,0.9840621506561612,40044.24159025801
2025-04-17,2025-04-18,AKFGY,0.9777771296844605,40044.24159025801
2025-04-18,2025-04-21,AKENR,0.9830787780589515,39979.35083211602
2025-04-21,2025-04-22,AKFGY,0.9853473436821484,39979.35083211602
2025-04-22,2025-04-24,AKENR,0.9851080498832262,39979.35083211602
2025-04-24,2025-04-25,AKENR,0.9891569242589048,39979.35083211602
2025-04-25,2025-04-28,AKENR,0.9892737795369336,39979.35083211602
2025-04-28,2025-04-29,AKENR,0.9922429727032858,39979.35083211602
2025-04-29,2025-04-30,AKENR,0.9919893608215075,39979.35083211602
2025-04-30,2025-05-02,AKENR,0.9885128117661687,39979.35083211602
2025-05-02,2025-05-05,BIOEN,0.9880701480171609,39979.35083211602
2025-05-05,2025-05-06,TEKTU,0.9878826165646072,39979.35083211602
2025-05-06,2025-05-07,EKGYO,0.9897253799683517,39877.83937605801
2025-05-06,2025-05-07,TEKTU,0.9718824810163962,39877.83937605801
2025-05-07,2025-05-08,TMSN,0.986811262228218,49216.163423843005
2025-05-07,2025-05-08,TEKTU,0.9852364297249999,49216.163423843005
2025-05-08,2025-05-09,MAGEN,0.948427277999008,49184.87253568601
2025-05-09,2025-05-12,KIMMR,0.9480667489953533,49184.87253568601
2025-05-12,2025-05-13,MAGEN,0.9418963886512859,49184.87253568601
2025-05-13,2025-05-14,TEKTU,0.9450951080802954,49184.87253568601
2025-05-14,2025-05-15,TEKTU,0.9390623090551727,49184.87253568601
2025-05-15,2025-05-16,TEKTU,0.9476330920560114,49482.643992043
2025-05-15,2025-05-16,MAGEN,0.9190102406799451,49482.643992043
2025-05-16,2025-05-20,TRGYO,0.8780810505164051,49386.832992086
2025-05-20,2025-05-21,BIMAS,0.8455145375886526,49386.832992086
2025-05-22,2025-05-23,HLGYO,0.956544203806016,45218.108246685995
2025-05-23,2025-05-26,KRDMA,0.9598129660061308,45218.108246685995
2025-05-26,2025-05-27,MAVI,0.91864494793025,45218.108246685995
2025-05-27,2025-05-28,MAVI,0.9284492510061787,45218.108246685995
2025-05-28,2025-05-29,KRDMA,0.973998194894013,45218.108246685995
2025-05-29,2025-05-30,MAVI,0.9708284027426883,45218.108246685995
2025-05-30,2025-06-02,TUPRS,0.9704098113298956,45218.108246685995
2025-06-02,2025-06-03,SDTTR,0.9902750684427704,45218.108246685995
2025-06-03,2025-06-04,SDTTR,0.9898893362475021,45218.108246685995
2025-06-04,2025-06-05,SDTTR,0.9817906831506077,45218.108246685995
2025-06-05,2025-06-10,BMSCH,0.9834589507139457,51158.875829485994
2025-06-10,2025-06-11,BMSCH,0.9523504842943373,58001.463914743
2025-06-10,2025-06-11,AKFGY,0.9158118408636756,58001.463914743
2025-06-11,2025-06-12,AKFGY,0.9200024985589395,57885.507995486
2025-06-12,2025-06-13,AEFES,0.9735218014316681,56438.32572659299
