entry_date,symbol,weight,entry,exit,stop_hit,return
2025-01-02,KFEIN,0.2,8.5598,8.5847,False,0.0029089464707119372
2025-01-02,KARTN,0.1770590612900312,94.8,95.65,False,0.008966244725738592
2025-01-02,QUAGR,0.2,3.24,3.28,False,0.012345679012345512
2025-01-02,TEZOL,0.19637599323394542,15.5936,15.7625,False,0.010831366714549429
2025-01-02,OYAKC,0.13538048005123124,22.9563,22.4602,False,-0.021610625405661943
2025-01-06,KFEIN,0.2,8.8739,9.0733,False,0.022470390696311515
2025-01-06,KARTN,0.2,96.3,96.0,False,-0.0031152647975077885
2025-01-06,TRENJ,0.1322668778874128,52.3,53.15,False,0.016252390057361454
2025-01-06,OYAKC,0.15504096294057412,21.8114,21.7923,False,-0.000875688859953927
2025-01-06,CIMSA,0.15682440519160776,44.8801,44.8604,False,-0.0004389473285487666
2025-01-07,KARTN,0.2,96.0,94.25,False,-0.01822916666666663
2025-01-07,KFEIN,0.2,9.0733,8.8689,False,-0.02252763603099195
2025-01-07,OYAKC,0.14657639706688333,21.7923,22.0404,False,0.011384755165815497
2025-01-07,CIMSA,0.2,44.8604,44.1295,False,-0.016292766002978132
2025-01-07,TRENJ,0.130609244086002,53.15,54.95,False,0.033866415804327366
2025-01-08,KARTN,0.1993669751871743,94.25,103.6,False,0.09920424403183015
2025-01-08,CIMSA,0.2,44.1295,45.9666,False,0.041629748807487044
2025-01-08,OYAKC,0.1270937830163881,22.0404,22.4029,False,0.016447069926135427
2025-01-08,KFEIN,0.2,8.8689,9.4372,False,0.06407784505406533
2025-01-08,TCELL,0.2,94.8625,94.3238,False,-0.005678745552773701
2025-01-09,OYAKC,0.14999341870163607,22.4029,22.8037,False,0.017890540956751133
2025-01-09,TCELL,0.2,94.3238,93.6871,False,-0.006750152135516219
2025-01-09,CIMSA,0.2,45.9666,46.2234,False,0.005586665100312027
2025-01-09,KARTN,0.16152605455399224,103.6,113.9,False,0.0994208494208495
2025-01-09,SNGYO,0.19209263002603374,2.93,3.0,False,0.023890784982935065
2025-01-13,SMART,0.2,28.22,28.06,False,-0.005669737774627981
2025-01-13,HLGYO,0.14687567817246086,2.4877,2.459,False,-0.011536760863448015
2025-01-13,TCELL,0.2,92.7077,93.2464,False,0.0058107363250301525
2025-01-13,KFEIN,0.17723947637265378,9.163,9.3176,False,0.016872203426825383
2025-01-13,OYAKC,0.17960968550769565,22.8418,23.3571,False,0.0225595180765088
2025-01-14,TCELL,0.2,93.2464,93.932,False,0.007352562672660934
2025-01-14,HLGYO,0.14287338042709652,2.459,2.4685,False,0.0038633590890606584
2025-01-14,SMART,0.2,28.06,28.22,False,0.005702066999287325
2025-01-14,KFEIN,0.17245161244747223,9.3176,9.4472,False,0.013909161157379613
2025-01-14,TTKOM,0.2,44.72,44.72,False,0.0
2025-01-15,KRDMA,0.12926864029842122,27.9,28.76,False,0.030824372759856722
2025-01-15,SMART,0.2,28.22,28.26,False,0.0014174344436570507
2025-01-15,TTKOM,0.18310243477589674,44.72,45.7,False,0.021914132379248663
2025-01-15,ASELS,0.2,78.3,80.25,False,0.02490421455938696
2025-01-16,KRDMA,0.1370293217151399,28.76,28.6,False,-0.0055632823365785455
2025-01-16,ASELS,0.2,80.25,81.05,False,0.009968847352024968
2025-01-16,SMART,0.2,28.26,28.28,False,0.0007077140835103357
2025-01-16,TTKOM,0.1818518681947599,45.7,46.22,False,0.011378555798686962
2025-01-16,HLGYO,0.15792800976578178,2.5164,2.5355,False,0.00759020823398493
2025-01-20,KRDMA,0.1433880067120985,28.54,28.4,False,-0.004905395935529078
2025-01-20,ASELS,0.2,82.35,80.65,False,-0.02064359441408603
2025-01-20,TTKOM,0.18499392342118817,46.4,46.26,False,-0.0030172413793103647
2025-01-20,TCELL,0.17115909667344797,97.654,99.9068,False,0.023069203514449077
2025-01-20,AKCNS,0.2,179.0753,181.3909,False,0.012930873213670369
2025-01-21,KRDMA,0.1616403416893254,28.4,29.32,False,0.032394366197183055
2025-01-21,ASELS,0.2,80.65,82.0,False,0.01673899566026038
2025-01-21,HLGYO,0.17630762265582609,2.4781,2.4972,False,0.007707517856422319
2025-01-21,TCELL,0.2,99.9068,102.8453,False,0.029412412368327256
2025-01-21,EKGYO,0.16966778450321743,14.3419,14.4295,False,0.006107977325179981
2025-01-22,ASELS,0.2,82.0,84.05,False,0.02499999999999991
2025-01-22,KRDMA,0.14349820104246555,29.32,30.08,False,0.02592087312414737
2025-01-22,TCELL,0.19579061044871746,102.8453,104.0206,False,0.01142784356698856
2025-01-22,EKGYO,0.15934581278786747,14.4295,14.1082,False,-0.022266883814408
2025-01-22,MGROS,0.2,555.6049,546.304,False,-0.016740133141374458
