exit_date,symbol,entry_date,entry_price,exit_price,return,reason,days_held
2025-01-13,KARTN,2025-01-03,95.40864,107.44209,0.1261253697778313,MODEL_TP,6
2025-01-17,CIMSA,2025-01-08,44.92293453,49.9772779,0.11251142479627307,MODEL_TP,7
2025-01-17,KFEIN,2025-01-03,8.66956831,9.87694511,0.13926608071215463,MODEL_TP,10
2025-01-28,ASELS,2025-01-03,75.3509894,87.78048802,0.16495468366072985,MODEL_TP,17
2025-01-29,TCELL,2025-01-15,95.079077,105.478950025,0.10938129978901667,MODEL_TP,10
2025-01-30,KRDMA,2025-01-20,28.93852,33.136485,0.14506495149026288,MODEL_TP,8
2025-01-31,QUAGR,2025-01-03,3.29664,3.449665,0.04641847456804493,TIME_EXIT,20
2025-01-31,TUKAS,2025-01-31,2.193208233,2.08354782135,-0.050000000000000044,STOP_LOSS,0
2025-02-03,TKFEN,2025-01-29,65.13692,61.880074,-0.050000000000000044,STOP_LOSS,3
2025-02-05,PAPIL,2025-02-03,12.02001,11.419009499999998,-0.050000000000000155,STOP_LOSS,2
2025-02-05,TUKAS,2025-02-03,2.0742456860000003,1.9705334017000002,-0.050000000000000044,STOP_LOSS,2
2025-02-12,BIOEN,2025-02-04,14.42583,16.132929999999998,0.11833634529174386,MODEL_TP,6
2025-02-13,BMSCH,2025-02-13,9.85823832,9.365326404,-0.050000000000000044,STOP_LOSS,0
2025-02-14,BIMAS,2025-01-24,511.7987645,554.784538,0.08398959997880184,MODEL_TP,15
2025-02-19,CLEBI,2025-02-06,1899.2597520000002,2120.80469,0.11664804551705132,MODEL_TP,9
2025-02-19,TKFEN,2025-02-06,60.28993,68.771415,0.14067830233009082,MODEL_TP,9
2025-02-21,FROTO,2025-02-19,93.83117150000001,89.13961292500001,-0.050000000000000044,STOP_LOSS,2
2025-02-25,PAPIL,2025-02-20,13.36331,12.474,-0.06654863203802053,STOP_LOSS,3
2025-03-03,ASELS,2025-02-14,80.10203949999999,96.34846685,0.20282164413554038,MODEL_TP,11
2025-03-04,DOAS,2025-02-26,151.6038886,170.9767205,0.12778585087031868,MODEL_TP,4
2025-03-07,OTKAR,2025-02-21,395.7685,447.88233499999996,0.13167757161067617,MODEL_TP,10
2025-03-10,SNGYO,2025-02-17,2.97647,3.16609,0.06370633670085701,MODEL_TP,15
2025-03-11,FROTO,2025-02-25,88.69714354,100.00931065,0.12753699452450262,MODEL_TP,10
2025-03-11,CLEBI,2025-03-10,2140.8311479999998,2033.7895905999997,-0.050000000000000044,STOP_LOSS,1
2025-03-12,PAPIL,2025-03-12,23.23101,22.0694595,-0.050000000000000044,STOP_LOSS,0
2025-03-12,QUAGR,2025-03-12,3.7875,3.598125,-0.050000000000000044,STOP_LOSS,0
2025-03-13,PAPIL,2025-03-13,22.06648,20.963155999999998,-0.050000000000000044,STOP_LOSS,0
2025-03-18,TKFEN,2025-03-05,73.44215,112.129535,0.5267735898254613,MODEL_TP,9
2025-03-19,BMSCH,2025-03-13,10.31235351,9.7967358345,-0.04999999999999993,STOP_LOSS,4
2025-03-20,PAPIL,2025-03-14,23.14718,27.699804999999998,0.1966816260123263,MODEL_TP,4
2025-03-21,CEMTS,2025-03-19,9.338205985,8.871295685749999,-0.050000000000000155,STOP_LOSS,2
2025-03-24,BIOEN,2025-03-24,15.395430000000001,14.6256585,-0.050000000000000044,STOP_LOSS,0
