date,equity
2025-01-02,99896.268155764
2025-01-03,99717.85565576401
2025-01-06,100307.56565576402
2025-01-07,100646.309728109
2025-01-08,100769.22510830901
2025-01-09,104333.50650830902
2025-01-10,106878.08100830903
2025-01-13,104255.69760230901
2025-01-14,104893.30950230901
2025-01-15,106324.19550230901
2025-01-16,107156.33938764902
2025-01-17,109381.133287649
2025-01-20,109412.210762049
2025-01-21,109387.67786204901
2025-01-22,112160.30386204901
2025-01-23,112821.18406204901
2025-01-24,114941.09096334901
2025-01-27,116516.71451771261
2025-01-28,118201.33951771261
2025-01-29,120543.4491177126
2025-01-30,121465.60151771261
2025-01-31,122342.43099771261
2025-02-03,121515.63959771262
2025-02-04,121643.83199771262
2025-02-05,119799.0501352126
2025-02-06,121619.20677521262
2025-02-07,124095.1121752126
2025-02-10,123074.73577521261
2025-02-11,124984.85226321261
2025-02-12,125329.28394809262
2025-02-13,123420.5902996086
2025-02-14,122855.2555103286
2025-02-17,123337.91456084861
2025-02-18,125415.0467454886
2025-02-19,124241.53414548858
2025-02-20,125180.4180454886
2025-02-21,123749.4052454886
2025-02-24,125278.64344548859
2025-02-25,122411.7706063286
2025-02-26,124611.36360632858
2025-02-27,127930.8611063286
2025-02-28,128496.89099432858
2025-03-03,131740.95039432863
2025-03-04,130145.6396170186
2025-03-05,134739.74441701858
2025-03-06,138057.1788730186
2025-03-07,135366.4905856186
2025-03-10,135063.6820280186
2025-03-11,139452.9765828186
2025-03-12,143403.6906908186
2025-03-13,140198.17198306657
2025-03-14,141966.6646930666
2025-03-17,146415.63826410257
2025-03-18,151280.55637970258
2025-03-19,139483.05359896878
2025-03-20,146683.53639896878
2025-03-21,143000.23695064837
2025-03-24,142460.16837424837
2025-03-25,148110.1596742484
2025-03-26,152111.68932424838
2025-03-27,152263.2425492484
2025-03-28,155657.95932424837
2025-04-02,160028.02682424837
2025-04-03,166679.5903822484
2025-04-04,157503.76110724837
2025-04-07,169486.62288224837
2025-04-08,176652.50396624836
2025-04-09,180994.03857824838
2025-04-10,182306.77598024838
2025-04-11,182117.4534802484
2025-04-14,189182.45348024837
2025-04-15,191141.43176768837
2025-04-16,183749.3365724884
2025-04-17,189955.03187248838
2025-04-18,189457.5977724884
2025-04-21,194372.94273448837
2025-04-22,195859.66642552835
2025-04-24,180528.52119812835
2025-04-25,203957.44797312835
2025-04-28,201648.7605731284
2025-04-29,201032.25997312838
2025-04-30,199410.70047312835
2025-05-02,204956.8559731284
2025-05-05,210759.72839834838
2025-05-06,213815.74412336835
2025-05-07,214191.23752336839
2025-05-08,212750.25849336837
2025-05-09,210627.71169336836
2025-05-12,213374.12419336833
2025-05-13,214575.03323099637
2025-05-14,211930.19223099636
2025-05-15,208762.56686779635
2025-05-16,207142.7238362644
2025-05-20,210384.22124636435
2025-05-21,216235.10714636435
2025-05-22,222595.20978829893
2025-05-23,223217.76232029896
2025-05-26,222160.03032029897
2025-05-27,219825.81082029897
2025-05-28,220474.21542029898
2025-05-29,222277.88862029897
2025-05-30,222159.48242029897
2025-06-02,223217.900120299
2025-06-03,228695.12942029897
2025-06-04,232257.88132029897
2025-06-05,233285.48232029896
2025-06-10,237400.15780409897
2025-06-11,237081.42480409896
2025-06-12,234486.31792739296
2025-06-13,226999.57032899294
2025-06-16,230808.35032899296
2025-06-17,228735.83032899292
2025-06-18,224258.43032899295
2025-06-19,223724.31032899296
2025-06-20,227413.33032899298
2025-06-23,225563.30283099297
2025-06-24,234604.47283099295
2025-06-25,236033.56283099297
2025-06-26,238221.22034899294
2025-06-27,236366.02034899296
2025-06-30,243381.42034899295
2025-07-01,246332.07034899294
2025-07-02,251335.53932749495
2025-07-03,254994.91562749492
2025-07-04,260067.14167211694
2025-07-07,258066.75730011697
2025-07-08,257810.23260011696
2025-07-09,259143.70090011696
2025-07-10,267800.8212001169
2025-07-11,277035.1929001169
2025-07-14,279639.63762011693
2025-07-16,278334.35207386897
2025-07-17,286285.27207386895
2025-07-18,285645.5790618689
2025-07-21,290893.4890618689
2025-07-22,293490.4790618689
2025-07-23,295433.2690618689
2025-07-24,297959.5490618689
2025-07-25,296721.19906186895
2025-07-28,303302.3490618689
2025-07-29,310343.74906186893
2025-07-30,309136.3377291089
2025-07-31,312045.621929109
2025-08-01,314184.096129109
2025-08-04,320011.39172910893
2025-08-05,319203.38092910894
2025-08-06,323539.9405291089
2025-08-07,323308.8590791089
2025-08-08,330606.46007910895
2025-08-11,333237.483879109
2025-08-12,331677.41567910893
2025-08-13,331310.54665950895
2025-08-14,332640.43665950897
2025-08-15,342276.5537345089
2025-08-18,349554.0515685089
2025-08-19,353057.0215685089
2025-08-20,356595.1915685089
2025-08-21,354795.78644410893
2025-08-22,361450.5544441089
2025-08-25,360369.8484441089
2025-08-26,363096.6184441089
2025-08-27,362100.3284441089
2025-08-28,366708.67844410887
2025-08-29,368685.0297521089
