date,equity
2025-01-02,98601.06809799228
2025-01-03,99436.03699799227
2025-01-06,100774.69369799228
2025-01-07,101520.0460812087
2025-01-08,100113.2494812087
2025-01-09,105828.20458120869
2025-01-10,108388.49398120868
2025-01-13,106047.62599758868
2025-01-14,106440.16243639868
2025-01-15,107572.34333639868
2025-01-16,110200.61543139868
2025-01-17,110736.50472173195
2025-01-20,110471.45472173196
2025-01-21,110563.88572173197
2025-01-22,110650.11441273197
2025-01-23,113359.63715448498
2025-01-24,113464.89915448497
2025-01-27,112907.66155448495
2025-01-28,115650.02664489436
2025-01-29,117155.69819425762
2025-01-30,116670.41341355634
2025-01-31,115877.7601788162
2025-02-03,113594.7598015682
2025-02-04,113331.8864015682
2025-02-05,111149.86932863822
2025-02-06,113316.53792863822
2025-02-07,114843.99472863821
2025-02-10,115409.46932863822
2025-02-11,118986.11512863822
2025-02-12,119081.08925297117
2025-02-13,119106.56464747149
2025-02-14,118232.8080076835
2025-02-17,118757.5471076835
2025-02-18,120550.5612454045
2025-02-19,119593.6312877945
2025-02-20,120346.98903079449
2025-02-21,118202.38525667945
2025-02-24,118522.97574860111
2025-02-25,116370.36382439832
2025-02-26,118238.28302439832
2025-02-27,120391.2902243983
2025-02-28,121248.0577243983
2025-03-03,125718.34958953942
2025-03-04,125460.24949323043
2025-03-05,128503.21849323042
2025-03-06,129889.02875239043
2025-03-07,131713.12961995223
2025-03-10,132624.98324251224
2025-03-11,132068.01143994764
2025-03-12,132765.12276292106
2025-03-13,132985.83312580106
2025-03-14,138437.96902580105
2025-03-17,145970.05792580105
2025-03-18,154677.9184839193
2025-03-19,143633.17296509424
2025-03-20,152486.22084149442
2025-03-21,147692.34642058532
2025-03-24,147916.01789604433
2025-03-25,154413.01799604433
2025-03-26,161358.59657501432
2025-03-27,163014.04126308055
2025-03-28,165364.71926308057
2025-04-02,166429.60446308056
2025-04-03,172979.62446308054
2025-04-04,171594.34611578056
2025-04-07,171354.23611578057
2025-04-08,177317.42432070055
2025-04-09,181045.12178953056
2025-04-10,181419.30917541985
2025-04-11,180610.15660482412
2025-04-14,184954.70210482413
2025-04-15,183299.83495965836
2025-04-16,179857.23401541833
2025-04-17,183522.41218480412
2025-04-18,181951.9780754481
2025-04-21,185310.16957544812
2025-04-22,185088.09797544812
2025-04-24,188615.6521754481
2025-04-25,190282.9937584973
2025-04-28,188927.47460851728
2025-04-29,187034.0075584973
2025-04-30,184099.511051738
2025-05-02,192640.380251738
2025-05-05,199892.743951738
2025-05-06,200408.90417845396
2025-05-07,198097.76519737142
2025-05-08,196927.21831451845
2025-05-09,198925.62721451843
2025-05-12,204466.58621451844
2025-05-13,205737.1905145184
2025-05-14,207925.83511451844
2025-05-15,206848.57281451844
2025-05-16,213139.43421451843
2025-05-20,207601.24457419047
2025-05-21,219363.94628694825
2025-05-22,217885.90032113425
2025-05-23,214713.87580177025
2025-05-26,211937.90500105725
2025-05-27,210533.78360105725
2025-05-28,213881.05968053243
2025-05-29,216756.1584590068
2025-05-30,215680.69325900677
2025-06-02,213481.00361644683
2025-06-03,219480.58621644683
2025-06-04,222158.390668721
2025-06-05,225400.330768721
2025-06-10,229777.09226872103
2025-06-11,234240.62356872103
2025-06-12,233891.56558019103
2025-06-13,236311.534680191
2025-06-16,239354.94895447502
2025-06-17,240758.153661665
2025-06-18,239492.018461665
2025-06-19,242165.372161665
2025-06-20,238372.346741665
2025-06-23,245636.71436166504
2025-06-24,244566.167741665
2025-06-25,250353.43886166502
2025-06-26,247309.38144998503
2025-06-27,247912.19006748503
2025-06-30,259546.88558148502
2025-07-01,260370.170681485
2025-07-02,259548.49307058123
2025-07-03,263331.4334705812
2025-07-04,265618.5640705812
2025-07-07,263228.9446819832
2025-07-08,259056.0903819832
2025-07-09,263929.7417819832
2025-07-10,273630.7731819832
2025-07-11,279005.6729819832
2025-07-14,280203.46622856316
2025-07-16,274053.06858718436
2025-07-17,271561.30916718434
2025-07-18,284774.29688718444
2025-07-21,295776.3861871844
2025-07-22,300887.9493292444
2025-07-23,303094.1673292444
2025-07-24,303437.91183853854
2025-07-25,304346.4139385385
2025-07-28,309199.4453385385
2025-07-29,309661.1027851485
2025-07-30,311651.4942386185
2025-07-31,308710.9931168905
2025-08-01,317855.6334395945
2025-08-04,306604.4078579665
2025-08-05,304633.20701027045
2025-08-06,305268.79002251045
2025-08-07,303110.2134314775
2025-08-08,301107.9044379735
2025-08-11,300711.37653797347
2025-08-12,297761.2780379735
2025-08-13,301393.2311379735
2025-08-14,299983.51285439346
2025-08-15,308281.22375439346
2025-08-18,310730.4084651935
2025-08-19,310230.17196519347
2025-08-20,308117.1812776495
2025-08-21,311667.3285776495
2025-08-22,312945.6844883815
2025-08-25,300147.4578683815
2025-08-26,321553.2310883815
2025-08-27,321569.0566883815
2025-08-28,327867.9058513136
2025-08-29,325371.2335513136
2025-09-01,336796.0903513136
2025-09-02,328811.24178288435
2025-09-03,333953.8116828843
2025-09-04,339314.5038023923
2025-09-05,340225.03019975225
2025-09-08,330546.5703997523
2025-09-09,337167.2600997523
2025-09-10,348796.4708997522
2025-09-11,347771.1404997523
2025-09-12,350369.4206997523
2025-09-15,368059.0665007923
2025-09-16,370525.1036102163
2025-09-17,376511.4313102163
2025-09-18,385420.3390102163
2025-09-19,363352.6308123363
2025-09-22,386036.8078792903
2025-09-23,387522.65557929035
2025-09-24,388003.77317929023
2025-09-25,389098.35957929026
2025-09-26,386821.7080792902
2025-09-29,376159.37635129027
2025-09-30,375256.2251512903
2025-10-01,379418.0631983531
2025-10-02,379443.3631983531
2025-10-03,381527.2131983531
2025-10-06,378707.3265537467
2025-10-07,377502.2115537467
2025-10-08,374067.6965537467
2025-10-09,380562.4115537467
2025-10-10,383251.2290537467
2025-10-13,380030.0615537467
2025-10-14,368951.7096660667
2025-10-15,376814.8746660667
2025-10-16,369793.4737192667
2025-10-17,384522.4171894667
2025-10-20,384276.22218946676
2025-10-21,373482.89565528673
2025-10-22,385677.21222050476
2025-10-23,382977.3722205048
2025-10-24,383820.66490637674
2025-10-27,378703.92162260466
2025-10-28,373901.1825087027
2025-10-30,374312.6576395271
2025-10-31,382909.35463952704
2025-11-03,390474.94133952714
2025-11-04,384731.3233100071
2025-11-05,386894.1094100071
2025-11-06,390003.7047572871
2025-11-07,398517.6852572871
2025-11-10,400389.8707572871
2025-11-11,389863.7777166131
2025-11-12,404860.11771661305
2025-11-13,413052.69771661307
2025-11-14,413110.32467071305
2025-11-17,428388.47467071307
2025-11-18,434122.9846707131
2025-11-19,433761.28801091306
2025-11-20,440647.38801091304
2025-11-21,439267.63801091304
2025-11-24,434624.9380109131
2025-11-25,428859.600548723
