rebalance_date,n_universe,strategy_gross_ret,strategy_net_ret,market_ret,alpha_ret,hit_rate_nominal,alpha_positive,strategy_equity,market_equity,alpha_equity
2025-01-02,110,0.044608478217121626,0.043608478217121625,0.11548192944764853,-0.07187345123052691,0.6,0.0,1.0436084782171215,1.1154819294476486,0.9281265487694731
2025-01-03,110,-0.0006770028678251799,-0.00167700286782518,0.11548192944764853,-0.11715893231547371,0.4,0.0,1.0418583438062647,1.2442999349242487,0.8193882332619962
2025-01-06,110,-0.028374267604520033,-0.029374267604520034,-0.009672291355780906,-0.01970197624873913,0.4,0.0,1.0112545180092976,1.232264703419682,0.803244665751772
2025-01-07,103,-0.02079541039639366,-0.021795410396393662,-0.05525998601239049,0.033464575615996826,0.4,1.0,0.9892138107740777,1.164169773145148,0.8301249076069682
2025-01-08,109,0.05133081033014839,0.05033081033014839,-0.146962216362178,0.19729302669232637,0.6,1.0,1.0390017434601109,0.9930808030618831,0.9939027631614347
2025-01-09,110,-0.08092146264073811,-0.08192146264073812,-0.2013377718872866,0.11941630924654849,0.2,1.0,0.9538852009495816,0.7931361268693662,1.1125909628881197
2025-01-10,110,-0.06463539935292034,-0.06563539935292034,-0.09190550630914544,0.0262701069562251,0.2,1.0,0.8912765648484151,0.7202425495573626,1.1418188464817198
2025-01-13,108,0.0955711834390888,0.0945711834390888,-0.012262682906395702,0.1068338663454845,0.6,1.0,0.9755656443576555,0.7114104435564467,1.263803768517503
2025-01-14,111,0.11138883238100442,0.11038883238100441,-0.0122626829063957,0.12265151528740012,0.8,1.0,1.0832571967493194,0.7026866428708157,1.4188112157521013
2025-01-15,111,-0.02483736721744808,-0.02583736721744808,-0.0122626829063957,-0.01357468431105238,0.4,0.0,1.0552686827659639,0.6940698193867312,1.3995513014012861
2025-01-16,107,-0.04646654923662631,-0.04746654923662631,-0.012262682906395702,-0.03520386633023061,0.4,0.0,1.0051787198775834,0.6855586612766924,1.350281684464455
2025-01-17,109,-0.026915436496840816,-0.027915436496840817,-0.0122626829063957,-0.015652753590445115,0.4,0.0,0.977118717154865,0.6771518727997232,1.3291460579798415
2025-01-20,110,0.02001772960245768,0.019017729602457678,-0.0122626829063957,0.03128041250885338,0.6,1.0,0.9957012967072165,0.6688481741041082,1.3707222949579672
2025-01-21,110,0.007199123027830584,0.006199123027830584,-0.0122626829063957,0.018461805934226284,0.4,1.0,1.001873771544475,0.6606463010325478,1.3960283039571983
2025-01-22,111,0.011125520415887038,0.010125520415887039,-0.0122626829063957,0.022388203322282738,0.6,1.0,1.0120182648723903,0.6525450049297025,1.4272828694698534
2025-01-23,110,-0.01869878388789014,-0.01969878388789014,-0.0122626829063957,-0.007436100981494441,0.4,0.0,0.9920827357820715,0.6445430524520971,1.4166694499233186
2025-01-24,110,-0.06913977224053276,-0.07013977224053276,-0.0122626829063957,-0.057877089334137065,0.4,0.0,0.9224982786505523,0.6366392253803567,1.3346767456131639
2025-01-27,111,-0.02816109630530842,-0.029161096305308422,-0.0122626829063957,-0.016898413398912723,0.4,0.0,0.8955972175053424,0.628832320433744,1.3121228262118771
