rebalance_date,n_universe,strategy_gross_ret,strategy_net_ret,market_ret,alpha_ret,hit_rate_nominal,alpha_positive,avg_score_m1,avg_score_m2,avg_score_final,strategy_equity,market_equity,alpha_equity
2025-01-07,7,-0.043010109176643566,-0.044010109176643566,-0.05525998601239051,0.011249876835746943,0.2,1.0,0.7164965093749667,0.6241058451923368,0.4450766496016828,0.9559898908233564,0.9447400139876095,1.011249876835747
2025-01-08,68,0.00596856639191694,0.00496856639191694,-0.146962216362178,0.15193078275409494,0.2,1.0,0.9113131220551652,0.751760173612608,0.684403510324118,0.9607397900659137,0.8058989276459554,1.164889862183384
2025-01-09,70,-0.04032798073958536,-0.04132798073958536,-0.2013377718872867,0.16000979114770134,0.4,1.0,0.9181213477009968,0.7556142343342407,0.6912516659036341,0.9210343545263163,0.6436410331873651,1.3512836457414221
2025-01-10,37,-0.09155293705203713,-0.09255293705203713,-0.0919055063091454,-0.0006474307428917248,0.0,0.0,0.8516080692288343,0.7489840949572335,0.637187473475712,0.8357899198890785,0.5844868781509388,1.3504087831668024
2025-01-13,14,-0.0907126072443159,-0.0917126072443159,-0.012262682906395702,-0.0794499243379202,0.0,0.0,0.7526786673542804,0.6987949741211155,0.524091739666037,0.7591374472275331,0.5773195009012247,1.243118907518937
2025-01-14,8,-0.04508252820637274,-0.04608252820637274,-0.0122626829063957,-0.033819845299977044,0.2,0.0,0.6864921389113217,0.6342730387995494,0.4341583146744029,0.7241544744031565,0.5702400149259944,1.20107681837717
2025-01-15,5,-0.07182229752335734,-0.07282229752335734,-0.0122626829063957,-0.06055961461696164,0.2,0.0,0.5957865830811502,0.5948058563687312,0.3545754119798311,0.6714198818152994,0.5632473424424186,1.1283400691308823
2025-01-24,5,-0.03632754279916214,-0.03732754279916214,-0.0122626829063957,-0.02506485989276644,0.4,0.0,0.5743818464268091,0.5822105446402058,0.3346071132951754,0.6463574274406304,0.5563404188841772,1.1000583833867223
2025-01-29,7,-0.08572937818103722,-0.08672937818103722,-0.012262682906395702,-0.07446669527464152,0.2,0.0,0.6273691377308932,0.6400004410805817,0.40116371239157156,0.5902992496760097,0.5495181927393892,1.0181406709667484
2025-01-30,10,-0.034770082225808116,-0.03577008222580812,-0.012262682906395702,-0.023507399319412415,0.2,0.0,0.75114174484379,0.6761435348081523,0.5069512153864718,0.569184196977266,0.5427796253905305,0.9942068316509987
2025-01-31,7,-0.03938701203083907,-0.040387012030839074,-0.012262682906395702,-0.028124329124443372,0.2,0.0,0.691598037999708,0.6605740230763579,0.45734058172495134,0.5461965479661817,0.5361236909563142,0.9662454314998759
2025-02-07,38,0.027026551712806417,0.026026551712806417,0.0038639633644843006,0.022162588348322115,0.6,1.0,0.8084056552032459,0.7740637077786983,0.622828177884666,0.5604121606671798,0.5381952532570015,0.9876599312416544
2025-02-10,17,-0.03940524940022428,-0.04040524940022428,-0.0202217343717149,-0.02018351502850938,0.2,0.0,0.7586152465148491,0.7216572323023909,0.5484044342405882,0.5377685675485039,0.5273120118055206,0.967725482176382
2025-02-11,8,-0.014431817073531797,-0.015431817073531796,-0.0020067438866044,-0.013425073186927396,0.6,0.0,0.7363437332350906,0.6948618498532446,0.5148301473460062,0.5294698213862001,0.5262538316494968,0.9547336967533094
