symbol,date,score,rank,percentile,bucket,signal
AKFGY,2025-11-17,0.9309010134488747,1,1.0,9,BUY
GSDHO,2025-11-17,0.9308872982130244,2,0.990990990990991,9,BUY
ENKAI,2025-11-17,0.9179184081902249,3,0.9819819819819819,9,BUY
HEKTS,2025-11-17,0.9146193257903257,4,0.972972972972973,9,BUY
TUKAS,2025-11-17,0.8883669815964749,5,0.963963963963964,9,BUY
HLGYO,2025-11-17,0.887609270564459,6,0.954954954954955,9,BUY
CANTE,2025-11-17,0.8866177559812611,7,0.9459459459459459,9,BUY
EKGYO,2025-11-17,0.8794537527823599,8,0.9369369369369369,9,BUY
CEMTS,2025-11-17,0.8739893555033159,9,0.9279279279279279,9,BUY
BUCIM,2025-11-17,0.8667807933321278,10,0.918918918918919,9,BUY
KFEIN,2025-11-17,0.8428643812066796,11,0.9099099099099099,9,BUY
ASELS,2025-11-17,0.8145787986398166,12,0.9009009009009009,9,BUY
SNGYO,2025-11-17,0.7994115668703173,13,0.8918918918918919,8,BUY
GSDDE,2025-11-17,0.7953399625021247,14,0.8828828828828829,8,BUY
HUNER,2025-11-17,0.7951451605276992,15,0.8738738738738738,8,BUY
PGSUS,2025-11-17,0.7947719164118179,16,0.8648648648648649,8,HOLD
TUREX,2025-11-17,0.7562874088361842,17,0.8558558558558559,8,HOLD
OYAKC,2025-11-17,0.7259812865193568,18,0.8468468468468469,8,HOLD
KRDMB,2025-11-17,0.7179350039526513,19,0.8378378378378378,8,HOLD
JANTS,2025-11-17,0.7169663030216559,20,0.8288288288288288,8,HOLD
TCELL,2025-11-17,0.7069414835244013,21,0.8198198198198198,8,HOLD
TKFEN,2025-11-17,0.7058588499633593,22,0.8108108108108109,8,HOLD
EREGL,2025-11-17,0.703044512380035,23,0.8018018018018018,8,HOLD
PETUN,2025-11-17,0.6986823613330987,24,0.7927927927927928,7,HOLD
ODAS,2025-11-17,0.6921824018874149,25,0.7837837837837838,7,HOLD
THYAO,2025-11-17,0.6765764846526199,26,0.7747747747747747,7,HOLD
KRDMD,2025-11-17,0.6617011331305425,27,0.7657657657657657,7,HOLD
TEZOL,2025-11-17,0.6615156421851082,28,0.7567567567567568,7,HOLD
TTKOM,2025-11-17,0.6580709174228897,29,0.7477477477477478,7,HOLD
SASA,2025-11-17,0.639257773662861,30,0.7387387387387387,7,HOLD
TATGD,2025-11-17,0.6065985654758538,31,0.7297297297297297,7,HOLD
TUPRS,2025-11-17,0.5994166566005737,32,0.7207207207207207,7,HOLD
KRDMA,2025-11-17,0.5979333021419553,33,0.7117117117117117,7,HOLD
ULKER,2025-11-17,0.5869489885562407,34,0.7027027027027027,7,HOLD
BERA,2025-11-17,0.5829109228545125,35,0.6936936936936937,6,HOLD
PENTA,2025-11-17,0.5518936499549928,36,0.6846846846846847,6,HOLD
OZKGY,2025-11-17,0.5497457114683312,37,0.6756756756756757,6,HOLD
KOZAA,2025-11-17,0.5271384543805983,38,0.6666666666666666,6,HOLD
GWIND,2025-11-17,0.5235451135373977,39,0.6576576576576577,6,HOLD
KARSN,2025-11-17,0.5076130942083081,40,0.6486486486486487,6,HOLD
BAGFS,2025-11-17,0.5029401155978224,41,0.6396396396396397,6,HOLD
ISGYO,2025-11-17,0.490556920178769,42,0.6306306306306306,6,HOLD
IPEKE,2025-11-17,0.48911061766874353,43,0.6216216216216216,6,HOLD
INDES,2025-11-17,0.48667776578835736,44,0.6126126126126126,6,HOLD
FROTO,2025-11-17,0.48632656595272955,45,0.6036036036036037,6,HOLD
SISE,2025-11-17,0.4846692394061618,46,0.5945945945945946,5,HOLD
KOZAL,2025-11-17,0.4624678017518375,47,0.5855855855855856,5,HOLD
CIMSA,2025-11-17,0.4602369453989795,48,0.5765765765765766,5,HOLD
TAVHL,2025-11-17,0.45497800510950476,49,0.5675675675675675,5,HOLD
DOHOL,2025-11-17,0.4472187918182115,50,0.5585585585585585,5,HOLD
MIATK,2025-11-17,0.43841231563361477,51,0.5495495495495496,5,HOLD
ISDMR,2025-11-17,0.4284488295470587,52,0.5405405405405406,5,HOLD
BIMAS,2025-11-17,0.41747543847218466,53,0.5315315315315315,5,HOLD
ZOREN,2025-11-17,0.3891275472819721,54,0.5225225225225225,5,HOLD
PAPIL,2025-11-17,0.3874632767858569,55,0.5135135135135135,5,HOLD
KARTN,2025-11-17,0.38506685998184126,56,0.5045045045045045,5,HOLD
VESBE,2025-11-17,0.3819552098845245,57,0.4954954954954955,4,HOLD
