symbol,date,score,rank,percentile,bucket,signal
GSDDE,2025-11-17,0.994083850715954,1,1.0,9,BUY
PETUN,2025-11-17,0.9932102423197854,2,0.990990990990991,9,BUY
HUNER,2025-11-17,0.9916853260806733,3,0.9819819819819819,9,BUY
TATGD,2025-11-17,0.9897374763850458,4,0.972972972972973,9,BUY
BIZIM,2025-11-17,0.9885348384736955,5,0.963963963963964,9,BUY
BUCIM,2025-11-17,0.9872452096963434,6,0.954954954954955,9,BUY
GOODY,2025-11-17,0.9862193060750385,7,0.9459459459459459,9,BUY
KARTN,2025-11-17,0.9849745676916586,8,0.9369369369369369,9,BUY
TEZOL,2025-11-17,0.9811953650260843,9,0.9279279279279279,9,BUY
PENTA,2025-11-17,0.9797262096314722,10,0.918918918918919,9,BUY
CEMTS,2025-11-17,0.9785730738229271,11,0.9099099099099099,9,BUY
SNGYO,2025-11-17,0.9783077863710927,12,0.9009009009009009,9,BUY
GSDHO,2025-11-17,0.9781541380530845,13,0.8918918918918919,8,BUY
AKFGY,2025-11-17,0.9764545247539133,14,0.8828828828828829,8,BUY
INDES,2025-11-17,0.9763576945452213,15,0.8738738738738738,8,BUY
SMART,2025-11-17,0.9743773915889933,16,0.8648648648648649,8,HOLD
VBTYZ,2025-11-17,0.9708447190159337,17,0.8558558558558559,8,HOLD
KFEIN,2025-11-17,0.9701612251551607,18,0.8468468468468469,8,HOLD
JANTS,2025-11-17,0.9686136384229419,19,0.8378378378378378,8,HOLD
HEKTS,2025-11-17,0.96727073347001,20,0.8288288288288288,8,HOLD
HLGYO,2025-11-17,0.9663073655015162,21,0.8198198198198198,8,HOLD
PRKME,2025-11-17,0.9622219164747743,22,0.8108108108108109,8,HOLD
SARKY,2025-11-17,0.9618665188832717,23,0.8018018018018018,8,HOLD
ZOREN,2025-11-17,0.9616457997019051,24,0.7927927927927928,7,HOLD
KRDMB,2025-11-17,0.9615316213539068,25,0.7837837837837838,7,HOLD
VESBE,2025-11-17,0.9584537438782759,26,0.7747747747747747,7,HOLD
TUKAS,2025-11-17,0.9556173506752615,27,0.7657657657657657,7,HOLD
ODAS,2025-11-17,0.9548223245778036,28,0.7567567567567568,7,HOLD
SASA,2025-11-17,0.95231720936156,29,0.7477477477477478,7,HOLD
TLMAN,2025-11-17,0.9518292816129243,30,0.7387387387387387,7,HOLD
KMPUR,2025-11-17,0.9492151719598515,31,0.7297297297297297,7,HOLD
KARSN,2025-11-17,0.9479966871468533,32,0.7207207207207207,7,HOLD
BAGFS,2025-11-17,0.9469426793811716,33,0.7117117117117117,7,HOLD
OZKGY,2025-11-17,0.9443478748215928,34,0.7027027027027027,7,HOLD
KORDS,2025-11-17,0.9433763503056647,35,0.6936936936936937,6,HOLD
KIMMR,2025-11-17,0.9427990736178975,36,0.6846846846846847,6,HOLD
BRISA,2025-11-17,0.9403110837434261,37,0.6756756756756757,6,HOLD
TUREX,2025-11-17,0.939072568097,38,0.6666666666666666,6,HOLD
GWIND,2025-11-17,0.9372868467696153,39,0.6576576576576577,6,HOLD
PARSN,2025-11-17,0.9303277721521573,40,0.6486486486486487,6,HOLD
ORGE,2025-11-17,0.9271527668884963,41,0.6396396396396397,6,HOLD
AEFES,2025-11-17,0.9263036080517545,42,0.6306306306306306,6,HOLD
PETKM,2025-11-17,0.9253852199502521,43,0.6216216216216216,6,HOLD
KRDMA,2025-11-17,0.9212704951124204,44,0.6126126126126126,6,HOLD
NUHCM,2025-11-17,0.9208656052416632,45,0.6036036036036037,6,HOLD
CANTE,2025-11-17,0.9194822441436612,46,0.5945945945945946,5,HOLD
KUTPO,2025-11-17,0.9163019927656659,47,0.5855855855855856,5,HOLD
AKCNS,2025-11-17,0.9162247397859345,48,0.5765765765765766,5,HOLD
BIOEN,2025-11-17,0.9100723147933442,49,0.5675675675675675,5,HOLD
TMSN,2025-11-17,0.9094896380533134,50,0.5585585585585585,5,HOLD
SMRTG,2025-11-17,0.9093549653428645,51,0.5495495495495496,5,HOLD
AKENR,2025-11-17,0.9081751942887496,52,0.5405405405405406,5,HOLD
